"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"524",9102,"CARAHUE","Retirado",229
"525",9102,"CARAHUE",NA,1
"526",9103,"CUNCO","Promovido",1230
"527",9103,"CUNCO","Reprobado",5
"528",9103,"CUNCO","Retirado",117
"529",9103,"CUNCO",NA,1
"530",9104,"CURARREHUE","Promovido",634
"531",9104,"CURARREHUE","Reprobado",16
"532",9104,"CURARREHUE","Retirado",49
"533",9105,"FREIRE","Promovido",1493
"534",9105,"FREIRE","Reprobado",18
"535",9105,"FREIRE","Retirado",186
"536",9106,"GALVARINO","Promovido",1045
"537",9106,"GALVARINO","Reprobado",5
"538",9106,"GALVARINO","Retirado",96
"539",9107,"GORBEA","Promovido",869
"540",9107,"GORBEA","Reprobado",3
"541",9107,"GORBEA","Retirado",129
"542",9108,"LAUTARO","Promovido",2956
"543",9108,"LAUTARO","Reprobado",30
"544",9108,"LAUTARO","Retirado",235
"545",9109,"LONCOCHE","Promovido",1663
"546",9109,"LONCOCHE","Reprobado",10
"547",9109,"LONCOCHE","Retirado",153
"548",9110,"MELIPEUCO","Promovido",453
"549",9110,"MELIPEUCO","Reprobado",2
"550",9110,"MELIPEUCO","Retirado",44
"551",9111,"NUEVA IMPERIAL","Promovido",2425
"552",9111,"NUEVA IMPERIAL","Reprobado",18
"553",9111,"NUEVA IMPERIAL","Retirado",259
"554",9112,"PADRE LAS CASAS","Promovido",5140
"555",9112,"PADRE LAS CASAS","Reprobado",54
"556",9112,"PADRE LAS CASAS","Retirado",559
"557",9113,"PERQUENCO","Promovido",557
"558",9113,"PERQUENCO","Reprobado",13
"559",9113,"PERQUENCO","Retirado",57
"560",9114,"PITRUFQUÉN","Promovido",2010
"561",9114,"PITRUFQUÉN","Reprobado",16
"562",9114,"PITRUFQUÉN","Retirado",186
"563",9115,"PUCÓN","Promovido",2372
"564",9115,"PUCÓN","Reprobado",6
"565",9115,"PUCÓN","Retirado",306
"566",9116,"SAAVEDRA","Promovido",945
"567",9116,"SAAVEDRA","Reprobado",18
"568",9116,"SAAVEDRA","Retirado",105
"569",9117,"TEODORO SCHMIDT","Promovido",1051
"570",9117,"TEODORO SCHMIDT","Reprobado",11
"571",9117,"TEODORO SCHMIDT","Retirado",111
"572",9118,"TOLTÉN","Promovido",748
